We have attempted to match the data in Sample_Data\REXS-Database\BEARINX_37_LKW-Planetengetriebe\Bearinx_37_LKW-Planetengetriebe_rexs_1_4.rexsj to the data in Sample_Data\REXS-Database\BEARINX_37_LKW-Planetengetriebe\Bearinx_37_LKW-Planetengetriebe_rexs_1_3.rexsj. 
155/165 components and 176/188 relations from the first data model were matched. 
155/155 components and 176/176 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                 	|	ID 	Type                                 
1  	gear_unit                            	|	1  	gear_unit                            
2  	gear_casing                          	|	2  	gear_casing                          
3  	planetary_stage                      	|	12 	planetary_stage                      
4  	planet_carrier                       	|	13 	planet_carrier                       
5  	shaft                                	|	14 	shaft                                
6  	shaft                                	|	15 	shaft                                
10 	shaft                                	|	19 	shaft                                
14 	shaft                                	|	23 	shaft                                
15 	cylindrical_gear                     	|	24 	cylindrical_gear                     
19 	ring_gear                            	|	28 	ring_gear                            
49 	rolling_bearing_with_catalog_geometry	|	58 	rolling_bearing_with_catalog_geometry
50 	rolling_bearing_with_catalog_geometry	|	59 	rolling_bearing_with_catalog_geometry
57 	rolling_bearing_row                  	|	66 	rolling_bearing_row                  
58 	rolling_bearing_row                  	|	67 	rolling_bearing_row                  
115	concept_bearing                      	|	124	concept_bearing                      
116	concept_bearing                      	|	125	concept_bearing                      
117	external_load                        	|	127	external_load                        
118	external_load                        	|	128	external_load                        
119	external_load                        	|	129	external_load                        
142	material                             	|	152	material                             
143	side_plate                           	|	153	side_plate                           
145	coupling                             	|	154	coupling                             
153	switchable_coupling                  	|	158	switchable_coupling                  
154	switchable_coupling                  	|	159	switchable_coupling                  
196	cylindrical_stage                    	|	201	cylindrical_stage                    
197	cylindrical_stage                    	|	202	cylindrical_stage                    
198	cylindrical_stage                    	|	203	cylindrical_stage                    
199	cylindrical_stage_gear_data          	|	204	cylindrical_stage_gear_data          
200	cylindrical_stage_gear_data          	|	205	cylindrical_stage_gear_data          
201	cylindrical_stage_gear_data          	|	206	cylindrical_stage_gear_data          
202	cylindrical_stage_gear_data          	|	207	cylindrical_stage_gear_data          
203	cylindrical_stage_gear_data          	|	208	cylindrical_stage_gear_data          
204	cylindrical_stage_gear_data          	|	209	cylindrical_stage_gear_data          
205	cylindrical_stage                    	|	210	cylindrical_stage                    
206	cylindrical_stage                    	|	211	cylindrical_stage                    
207	cylindrical_stage                    	|	212	cylindrical_stage                    
208	cylindrical_stage_gear_data          	|	213	cylindrical_stage_gear_data          
209	cylindrical_stage_gear_data          	|	214	cylindrical_stage_gear_data          
210	cylindrical_stage_gear_data          	|	215	cylindrical_stage_gear_data          
211	cylindrical_stage_gear_data          	|	216	cylindrical_stage_gear_data          
212	cylindrical_stage_gear_data          	|	217	cylindrical_stage_gear_data          
213	cylindrical_stage_gear_data          	|	218	cylindrical_stage_gear_data          
214	shaft                                	|	219	shaft                                
215	shaft                                	|	220	shaft                                
216	shaft                                	|	221	shaft                                
217	rolling_bearing_with_catalog_geometry	|	222	rolling_bearing_with_catalog_geometry
218	rolling_bearing_with_catalog_geometry	|	223	rolling_bearing_with_catalog_geometry
219	rolling_bearing_with_catalog_geometry	|	224	rolling_bearing_with_catalog_geometry
220	shaft                                	|	225	shaft                                
221	shaft                                	|	226	shaft                                
222	shaft                                	|	227	shaft                                
223	coupling                             	|	228	coupling                             
224	coupling                             	|	229	coupling                             
225	coupling                             	|	230	coupling                             
229	rolling_bearing_with_catalog_geometry	|	231	rolling_bearing_with_catalog_geometry
230	rolling_bearing_with_catalog_geometry	|	232	rolling_bearing_with_catalog_geometry
231	rolling_bearing_with_catalog_geometry	|	233	rolling_bearing_with_catalog_geometry
232	cylindrical_gear                     	|	234	cylindrical_gear                     
233	cylindrical_gear                     	|	235	cylindrical_gear                     
234	cylindrical_gear                     	|	236	cylindrical_gear                     
235	rolling_element                      	|	237	rolling_element                      
236	rolling_element                      	|	238	rolling_element                      
237	rolling_element                      	|	239	rolling_element                      
238	rolling_element                      	|	240	rolling_element                      
239	rolling_element                      	|	241	rolling_element                      
240	rolling_element                      	|	242	rolling_element                      
241	rolling_element                      	|	243	rolling_element                      
242	rolling_element                      	|	244	rolling_element                      
243	rolling_element                      	|	245	rolling_element                      
244	rolling_element                      	|	246	rolling_element                      
245	rolling_element                      	|	247	rolling_element                      
246	rolling_element                      	|	248	rolling_element                      
247	rolling_element                      	|	249	rolling_element                      
248	rolling_element                      	|	250	rolling_element                      
249	rolling_element                      	|	251	rolling_element                      
250	rolling_element                      	|	252	rolling_element                      
251	rolling_element                      	|	253	rolling_element                      
252	rolling_element                      	|	254	rolling_element                      
253	rolling_element                      	|	255	rolling_element                      
254	rolling_element                      	|	256	rolling_element                      
255	rolling_element                      	|	257	rolling_element                      
256	rolling_element                      	|	258	rolling_element                      
257	rolling_element                      	|	259	rolling_element                      
258	rolling_element                      	|	260	rolling_element                      
259	rolling_element                      	|	261	rolling_element                      
260	rolling_element                      	|	262	rolling_element                      
261	rolling_element                      	|	263	rolling_element                      
262	rolling_element                      	|	264	rolling_element                      
263	rolling_element                      	|	265	rolling_element                      
264	rolling_element                      	|	266	rolling_element                      
265	rolling_element                      	|	267	rolling_element                      
266	rolling_element                      	|	268	rolling_element                      
267	rolling_element                      	|	269	rolling_element                      
268	rolling_element                      	|	270	rolling_element                      
269	rolling_element                      	|	271	rolling_element                      
270	rolling_element                      	|	272	rolling_element                      
271	rolling_element                      	|	273	rolling_element                      
272	rolling_element                      	|	274	rolling_element                      
273	rolling_element                      	|	275	rolling_element                      
274	rolling_element                      	|	276	rolling_element                      
275	rolling_element                      	|	277	rolling_element                      
276	rolling_element                      	|	278	rolling_element                      
277	rolling_element                      	|	279	rolling_element                      
278	rolling_element                      	|	280	rolling_element                      
279	rolling_element                      	|	281	rolling_element                      
280	rolling_element                      	|	282	rolling_element                      
281	rolling_element                      	|	283	rolling_element                      
282	rolling_element                      	|	284	rolling_element                      
283	rolling_element                      	|	285	rolling_element                      
284	rolling_element                      	|	286	rolling_element                      
285	rolling_element                      	|	287	rolling_element                      
286	rolling_element                      	|	288	rolling_element                      
287	rolling_element                      	|	289	rolling_element                      
288	rolling_element                      	|	290	rolling_element                      
289	rolling_element                      	|	291	rolling_element                      
290	rolling_element                      	|	292	rolling_element                      
291	rolling_bearing_row                  	|	293	rolling_bearing_row                  
292	rolling_bearing_row                  	|	294	rolling_bearing_row                  
293	rolling_bearing_row                  	|	295	rolling_bearing_row                  
