We have attempted to match the data in Sample_Data/REXS-Database/FVA_Planetenstufe_Ravigneaux/fva_planetenstufe_ravigneaux_1-4.rexsj to the data in Sample_Data/REXS-Database/FVA_Planetenstufe_Ravigneaux/fva_planetenstufe_ravigneaux_1-4_export.rexsj. 
376/407 components and 409/492 relations from the first data model were matched. 
376/408 components and 409/492 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                   	|	ID 	Type                                   
1  	gear_unit                              	|	1  	gear_unit                              
2  	gear_casing                            	|	2  	gear_casing                            
3  	planetary_stage                        	|	3  	planetary_stage                        
4  	planet_carrier                         	|	4  	planet_carrier                         
5  	shaft                                  	|	5  	shaft                                  
7  	shaft                                  	|	7  	shaft                                  
9  	side_plate                             	|	9  	side_plate                             
10 	side_plate                             	|	10 	side_plate                             
11 	coupling                               	|	11 	coupling                               
12 	coupling                               	|	12 	coupling                               
14 	shaft                                  	|	14 	shaft                                  
18 	cylindrical_gear                       	|	18 	cylindrical_gear                       
39 	shaft                                  	|	39 	shaft                                  
41 	cylindrical_gear                       	|	41 	cylindrical_gear                       
43 	shaft                                  	|	43 	shaft                                  
45 	ring_gear                              	|	45 	ring_gear                              
47 	rolling_bearing_with_detailed_geometry 	|	47 	rolling_bearing_with_detailed_geometry 
48 	rolling_bearing_with_detailed_geometry 	|	48 	rolling_bearing_with_detailed_geometry 
49 	rolling_bearing_with_detailed_geometry 	|	49 	rolling_bearing_with_detailed_geometry 
50 	rolling_bearing_with_detailed_geometry 	|	50 	rolling_bearing_with_detailed_geometry 
53 	rolling_bearing_with_detailed_geometry 	|	53 	rolling_bearing_with_detailed_geometry 
54 	rolling_bearing_with_detailed_geometry 	|	54 	rolling_bearing_with_detailed_geometry 
55 	external_load                          	|	55 	external_load                          
56 	external_load                          	|	56 	external_load                          
57 	external_load                          	|	57 	external_load                          
58 	external_load                          	|	58 	external_load                          
59 	lubricant                              	|	59 	lubricant                              
64 	rolling_bearing_with_detailed_geometry 	|	64 	rolling_bearing_with_detailed_geometry 
65 	rolling_bearing_with_detailed_geometry 	|	65 	rolling_bearing_with_detailed_geometry 
75 	cylindrical_stage                      	|	599	cylindrical_stage                      
76 	cylindrical_stage                      	|	600	cylindrical_stage                      
77 	cylindrical_stage                      	|	601	cylindrical_stage                      
78 	cylindrical_stage_gear_data            	|	602	cylindrical_stage_gear_data            
79 	cylindrical_stage_gear_data            	|	603	cylindrical_stage_gear_data            
80 	cylindrical_stage_gear_data            	|	604	cylindrical_stage_gear_data            
81 	cylindrical_stage_gear_data            	|	605	cylindrical_stage_gear_data            
82 	cylindrical_stage_gear_data            	|	606	cylindrical_stage_gear_data            
83 	cylindrical_stage_gear_data            	|	607	cylindrical_stage_gear_data            
84 	cylindrical_stage                      	|	608	cylindrical_stage                      
85 	cylindrical_stage                      	|	609	cylindrical_stage                      
86 	cylindrical_stage                      	|	610	cylindrical_stage                      
87 	cylindrical_stage_gear_data            	|	611	cylindrical_stage_gear_data            
88 	cylindrical_stage_gear_data            	|	612	cylindrical_stage_gear_data            
89 	cylindrical_stage_gear_data            	|	613	cylindrical_stage_gear_data            
90 	cylindrical_stage_gear_data            	|	614	cylindrical_stage_gear_data            
91 	cylindrical_stage_gear_data            	|	615	cylindrical_stage_gear_data            
92 	cylindrical_stage_gear_data            	|	616	cylindrical_stage_gear_data            
93 	cylindrical_stage                      	|	617	cylindrical_stage                      
94 	cylindrical_stage                      	|	618	cylindrical_stage                      
95 	cylindrical_stage                      	|	619	cylindrical_stage                      
96 	cylindrical_stage_gear_data            	|	620	cylindrical_stage_gear_data            
97 	cylindrical_stage_gear_data            	|	621	cylindrical_stage_gear_data            
98 	cylindrical_stage_gear_data            	|	622	cylindrical_stage_gear_data            
99 	cylindrical_stage_gear_data            	|	623	cylindrical_stage_gear_data            
100	cylindrical_stage_gear_data            	|	624	cylindrical_stage_gear_data            
101	cylindrical_stage_gear_data            	|	625	cylindrical_stage_gear_data            
102	cylindrical_stage                      	|	626	cylindrical_stage                      
103	cylindrical_stage                      	|	627	cylindrical_stage                      
104	cylindrical_stage                      	|	628	cylindrical_stage                      
105	cylindrical_stage_gear_data            	|	629	cylindrical_stage_gear_data            
106	cylindrical_stage_gear_data            	|	630	cylindrical_stage_gear_data            
107	cylindrical_stage_gear_data            	|	631	cylindrical_stage_gear_data            
108	cylindrical_stage_gear_data            	|	632	cylindrical_stage_gear_data            
109	cylindrical_stage_gear_data            	|	633	cylindrical_stage_gear_data            
110	cylindrical_stage_gear_data            	|	634	cylindrical_stage_gear_data            
112	shaft                                  	|	636	shaft                                  
115	concept_bearing                        	|	639	concept_bearing                        
122	coupling                               	|	646	coupling                               
129	cylindrical_gear                       	|	653	cylindrical_gear                       
130	cylindrical_gear                       	|	654	cylindrical_gear                       
131	cylindrical_gear                       	|	655	cylindrical_gear                       
132	shaft                                  	|	656	shaft                                  
134	shaft                                  	|	658	shaft                                  
135	concept_bearing                        	|	659	concept_bearing                        
136	concept_bearing                        	|	660	concept_bearing                        
138	shaft                                  	|	662	shaft                                  
139	shaft                                  	|	663	shaft                                  
141	coupling                               	|	665	coupling                               
144	coupling                               	|	668	coupling                               
145	coupling                               	|	669	coupling                               
147	concept_bearing                        	|	671	concept_bearing                        
149	concept_bearing                        	|	673	concept_bearing                        
150	cylindrical_gear                       	|	674	cylindrical_gear                       
151	cylindrical_gear                       	|	675	cylindrical_gear                       
152	cylindrical_gear                       	|	676	cylindrical_gear                       
154	rack_shaped_tool                       	|	154	rack_shaped_tool                       
155	rack_shaped_tool                       	|	155	rack_shaped_tool                       
156	rack_shaped_tool                       	|	156	rack_shaped_tool                       
157	rack_shaped_tool                       	|	157	rack_shaped_tool                       
186	cutter_wheel_tool                      	|	186	cutter_wheel_tool                      
196	material                               	|	196	material                               
197	material                               	|	197	material                               
198	material                               	|	198	material                               
298	rolling_bearing_row                    	|	298	rolling_bearing_row                    
299	rolling_bearing_row                    	|	299	rolling_bearing_row                    
300	rolling_bearing_row                    	|	300	rolling_bearing_row                    
301	rolling_bearing_row                    	|	301	rolling_bearing_row                    
302	rolling_bearing_row                    	|	302	rolling_bearing_row                    
303	rolling_bearing_row                    	|	303	rolling_bearing_row                    
304	rolling_bearing_row                    	|	304	rolling_bearing_row                    
305	rolling_bearing_row                    	|	305	rolling_bearing_row                    
306	rolling_bearing_row                    	|	306	rolling_bearing_row                    
309	concept_bearing                        	|	309	concept_bearing                        
