We have attempted to match the data in Sample_Data/REXS-Database/FVA_Planetenstufe_Ravigneaux/fva_planetenstufe_ravigneaux_1-2.rexsj to the data in Sample_Data/REXS-Database/FVA_Planetenstufe_Ravigneaux/fva_planetenstufe_ravigneaux_1-2_export.rexsj. 
327/327 components and 404/410 relations from the first data model were matched. 
327/338 components and 404/420 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                  	|	ID 	Type                                  
1  	gear_unit                             	|	1  	gear_unit                             
2  	gear_casing                           	|	2  	gear_casing                           
3  	planetary_stage                       	|	3  	planetary_stage                       
4  	planet_carrier                        	|	4  	planet_carrier                        
5  	shaft                                 	|	5  	shaft                                 
7  	shaft                                 	|	7  	shaft                                 
9  	side_plate                            	|	9  	side_plate                            
10 	side_plate                            	|	10 	side_plate                            
11 	coupling                              	|	11 	coupling                              
12 	coupling                              	|	12 	coupling                              
14 	shaft                                 	|	14 	shaft                                 
18 	cylindrical_gear                      	|	18 	cylindrical_gear                      
39 	shaft                                 	|	39 	shaft                                 
41 	cylindrical_gear                      	|	41 	cylindrical_gear                      
43 	shaft                                 	|	43 	shaft                                 
45 	ring_gear                             	|	45 	ring_gear                             
47 	rolling_bearing_with_detailed_geometry	|	47 	rolling_bearing_with_detailed_geometry
48 	rolling_bearing_with_detailed_geometry	|	48 	rolling_bearing_with_detailed_geometry
49 	rolling_bearing_with_detailed_geometry	|	49 	rolling_bearing_with_detailed_geometry
50 	rolling_bearing_with_detailed_geometry	|	50 	rolling_bearing_with_detailed_geometry
53 	rolling_bearing_with_detailed_geometry	|	53 	rolling_bearing_with_detailed_geometry
54 	rolling_bearing_with_detailed_geometry	|	54 	rolling_bearing_with_detailed_geometry
55 	external_load                         	|	55 	external_load                         
56 	external_load                         	|	56 	external_load                         
57 	external_load                         	|	57 	external_load                         
58 	external_load                         	|	58 	external_load                         
59 	lubricant                             	|	59 	lubricant                             
64 	rolling_bearing_with_detailed_geometry	|	64 	rolling_bearing_with_detailed_geometry
65 	rolling_bearing_with_detailed_geometry	|	65 	rolling_bearing_with_detailed_geometry
75 	cylindrical_stage                     	|	540	cylindrical_stage                     
76 	cylindrical_stage                     	|	541	cylindrical_stage                     
77 	cylindrical_stage                     	|	542	cylindrical_stage                     
78 	stage_gear_data                       	|	543	stage_gear_data                       
79 	stage_gear_data                       	|	544	stage_gear_data                       
80 	stage_gear_data                       	|	545	stage_gear_data                       
81 	stage_gear_data                       	|	546	stage_gear_data                       
82 	stage_gear_data                       	|	547	stage_gear_data                       
83 	stage_gear_data                       	|	548	stage_gear_data                       
84 	cylindrical_stage                     	|	549	cylindrical_stage                     
85 	cylindrical_stage                     	|	550	cylindrical_stage                     
86 	cylindrical_stage                     	|	551	cylindrical_stage                     
87 	stage_gear_data                       	|	552	stage_gear_data                       
88 	stage_gear_data                       	|	553	stage_gear_data                       
89 	stage_gear_data                       	|	554	stage_gear_data                       
90 	stage_gear_data                       	|	555	stage_gear_data                       
91 	stage_gear_data                       	|	556	stage_gear_data                       
92 	stage_gear_data                       	|	557	stage_gear_data                       
93 	cylindrical_stage                     	|	558	cylindrical_stage                     
94 	cylindrical_stage                     	|	559	cylindrical_stage                     
95 	cylindrical_stage                     	|	560	cylindrical_stage                     
96 	stage_gear_data                       	|	561	stage_gear_data                       
97 	stage_gear_data                       	|	562	stage_gear_data                       
98 	stage_gear_data                       	|	563	stage_gear_data                       
99 	stage_gear_data                       	|	564	stage_gear_data                       
100	stage_gear_data                       	|	565	stage_gear_data                       
101	stage_gear_data                       	|	566	stage_gear_data                       
102	cylindrical_stage                     	|	567	cylindrical_stage                     
103	cylindrical_stage                     	|	568	cylindrical_stage                     
104	cylindrical_stage                     	|	569	cylindrical_stage                     
105	stage_gear_data                       	|	570	stage_gear_data                       
106	stage_gear_data                       	|	571	stage_gear_data                       
107	stage_gear_data                       	|	572	stage_gear_data                       
108	stage_gear_data                       	|	573	stage_gear_data                       
109	stage_gear_data                       	|	574	stage_gear_data                       
110	stage_gear_data                       	|	575	stage_gear_data                       
111	shaft                                 	|	576	shaft                                 
112	shaft                                 	|	577	shaft                                 
113	shaft                                 	|	578	shaft                                 
114	concept_bearing                       	|	579	concept_bearing                       
115	concept_bearing                       	|	580	concept_bearing                       
116	concept_bearing                       	|	581	concept_bearing                       
117	shaft                                 	|	582	shaft                                 
118	shaft                                 	|	583	shaft                                 
119	shaft                                 	|	584	shaft                                 
120	coupling                              	|	585	coupling                              
121	coupling                              	|	586	coupling                              
122	coupling                              	|	587	coupling                              
123	coupling                              	|	588	coupling                              
124	coupling                              	|	589	coupling                              
125	coupling                              	|	590	coupling                              
126	concept_bearing                       	|	591	concept_bearing                       
127	concept_bearing                       	|	592	concept_bearing                       
128	concept_bearing                       	|	593	concept_bearing                       
129	cylindrical_gear                      	|	594	cylindrical_gear                      
130	cylindrical_gear                      	|	595	cylindrical_gear                      
131	cylindrical_gear                      	|	596	cylindrical_gear                      
132	shaft                                 	|	597	shaft                                 
133	shaft                                 	|	598	shaft                                 
134	shaft                                 	|	599	shaft                                 
135	concept_bearing                       	|	600	concept_bearing                       
136	concept_bearing                       	|	601	concept_bearing                       
137	concept_bearing                       	|	602	concept_bearing                       
138	shaft                                 	|	603	shaft                                 
139	shaft                                 	|	604	shaft                                 
140	shaft                                 	|	605	shaft                                 
141	coupling                              	|	606	coupling                              
142	coupling                              	|	607	coupling                              
143	coupling                              	|	608	coupling                              
144	coupling                              	|	609	coupling                              
145	coupling                              	|	610	coupling                              
146	coupling                              	|	611	coupling                              
147	concept_bearing                       	|	612	concept_bearing                       
148	concept_bearing                       	|	613	concept_bearing                       
149	concept_bearing                       	|	614	concept_bearing                       
150	cylindrical_gear                      	|	615	cylindrical_gear                      
151	cylindrical_gear                      	|	616	cylindrical_gear                      
152	cylindrical_gear                      	|	617	cylindrical_gear                      
154	rack_shaped_tool                      	|	154	rack_shaped_tool                      
155	rack_shaped_tool                      	|	155	rack_shaped_tool                      
156	rack_shaped_tool                      	|	156	rack_shaped_tool                      
157	rack_shaped_tool                      	|	157	rack_shaped_tool                      
186	cutter_wheel_tool                     	|	186	cutter_wheel_tool                     
196	material                              	|	196	material                              
197	material                              	|	197	material                              
198	material                              	|	198	material                              
298	rolling_bearing_row                   	|	298	rolling_bearing_row                   
299	rolling_bearing_row                   	|	299	rolling_bearing_row                   
300	rolling_bearing_row                   	|	300	rolling_bearing_row                   
