We have attempted to match the data in Sample_Data\REXS-Database\BEARINX_37_LKW-Planetengetriebe\Bearinx_37_LKW-Planetengetriebe_rexs_1_4.rexsj to the data in Sample_Data\REXS-Database\BEARINX_37_LKW-Planetengetriebe\Bearinx_37_LKW-Planetengetriebe_rexs_1_4_mod.rexsj. 
161/165 components and 184/188 relations from the first data model were matched. 
161/189 components and 184/219 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                 	|	ID 	Type                                 
1  	gear_unit                            	|	1  	gear_unit                            
2  	gear_casing                          	|	2  	gear_casing                          
3  	planetary_stage                      	|	3  	planetary_stage                      
4  	planet_carrier                       	|	4  	planet_carrier                       
5  	shaft                                	|	5  	shaft                                
6  	shaft                                	|	6  	shaft                                
10 	shaft                                	|	10 	shaft                                
14 	shaft                                	|	14 	shaft                                
15 	cylindrical_gear                     	|	15 	cylindrical_gear                     
19 	ring_gear                            	|	19 	ring_gear                            
49 	rolling_bearing_with_catalog_geometry	|	49 	rolling_bearing_with_catalog_geometry
50 	rolling_bearing_with_catalog_geometry	|	50 	rolling_bearing_with_catalog_geometry
57 	rolling_bearing_row                  	|	57 	rolling_bearing_row                  
58 	rolling_bearing_row                  	|	58 	rolling_bearing_row                  
115	concept_bearing                      	|	115	concept_bearing                      
116	concept_bearing                      	|	116	concept_bearing                      
117	external_load                        	|	117	external_load                        
118	external_load                        	|	118	external_load                        
119	external_load                        	|	119	external_load                        
142	material                             	|	142	material                             
143	side_plate                           	|	143	side_plate                           
144	side_plate                           	|	144	side_plate                           
145	coupling                             	|	145	coupling                             
146	coupling                             	|	146	coupling                             
153	switchable_coupling                  	|	153	switchable_coupling                  
154	switchable_coupling                  	|	154	switchable_coupling                  
196	cylindrical_stage                    	|	398	cylindrical_stage                    
197	cylindrical_stage                    	|	399	cylindrical_stage                    
198	cylindrical_stage                    	|	400	cylindrical_stage                    
199	cylindrical_stage_gear_data          	|	401	cylindrical_stage_gear_data          
200	cylindrical_stage_gear_data          	|	402	cylindrical_stage_gear_data          
201	cylindrical_stage_gear_data          	|	403	cylindrical_stage_gear_data          
202	cylindrical_stage_gear_data          	|	404	cylindrical_stage_gear_data          
203	cylindrical_stage_gear_data          	|	405	cylindrical_stage_gear_data          
204	cylindrical_stage_gear_data          	|	406	cylindrical_stage_gear_data          
205	cylindrical_stage                    	|	407	cylindrical_stage                    
206	cylindrical_stage                    	|	408	cylindrical_stage                    
207	cylindrical_stage                    	|	409	cylindrical_stage                    
208	cylindrical_stage_gear_data          	|	410	cylindrical_stage_gear_data          
209	cylindrical_stage_gear_data          	|	411	cylindrical_stage_gear_data          
210	cylindrical_stage_gear_data          	|	412	cylindrical_stage_gear_data          
211	cylindrical_stage_gear_data          	|	413	cylindrical_stage_gear_data          
212	cylindrical_stage_gear_data          	|	414	cylindrical_stage_gear_data          
213	cylindrical_stage_gear_data          	|	415	cylindrical_stage_gear_data          
214	shaft                                	|	416	shaft                                
215	shaft                                	|	417	shaft                                
216	shaft                                	|	418	shaft                                
217	rolling_bearing_with_catalog_geometry	|	419	rolling_bearing_with_catalog_geometry
218	rolling_bearing_with_catalog_geometry	|	420	rolling_bearing_with_catalog_geometry
219	rolling_bearing_with_catalog_geometry	|	421	rolling_bearing_with_catalog_geometry
220	shaft                                	|	422	shaft                                
221	shaft                                	|	423	shaft                                
222	shaft                                	|	424	shaft                                
223	coupling                             	|	425	coupling                             
224	coupling                             	|	426	coupling                             
225	coupling                             	|	427	coupling                             
226	coupling                             	|	428	coupling                             
227	coupling                             	|	429	coupling                             
228	coupling                             	|	430	coupling                             
229	rolling_bearing_with_catalog_geometry	|	431	rolling_bearing_with_catalog_geometry
230	rolling_bearing_with_catalog_geometry	|	432	rolling_bearing_with_catalog_geometry
231	rolling_bearing_with_catalog_geometry	|	433	rolling_bearing_with_catalog_geometry
232	cylindrical_gear                     	|	434	cylindrical_gear                     
233	cylindrical_gear                     	|	435	cylindrical_gear                     
234	cylindrical_gear                     	|	436	cylindrical_gear                     
235	rolling_element                      	|	437	rolling_element                      
236	rolling_element                      	|	438	rolling_element                      
237	rolling_element                      	|	439	rolling_element                      
238	rolling_element                      	|	440	rolling_element                      
239	rolling_element                      	|	441	rolling_element                      
240	rolling_element                      	|	442	rolling_element                      
241	rolling_element                      	|	443	rolling_element                      
242	rolling_element                      	|	444	rolling_element                      
243	rolling_element                      	|	445	rolling_element                      
244	rolling_element                      	|	446	rolling_element                      
245	rolling_element                      	|	447	rolling_element                      
246	rolling_element                      	|	448	rolling_element                      
247	rolling_element                      	|	449	rolling_element                      
248	rolling_element                      	|	450	rolling_element                      
249	rolling_element                      	|	451	rolling_element                      
250	rolling_element                      	|	452	rolling_element                      
251	rolling_element                      	|	453	rolling_element                      
252	rolling_element                      	|	454	rolling_element                      
253	rolling_element                      	|	455	rolling_element                      
254	rolling_element                      	|	456	rolling_element                      
255	rolling_element                      	|	457	rolling_element                      
256	rolling_element                      	|	458	rolling_element                      
257	rolling_element                      	|	459	rolling_element                      
258	rolling_element                      	|	460	rolling_element                      
259	rolling_element                      	|	461	rolling_element                      
260	rolling_element                      	|	462	rolling_element                      
261	rolling_element                      	|	463	rolling_element                      
262	rolling_element                      	|	464	rolling_element                      
263	rolling_element                      	|	465	rolling_element                      
264	rolling_element                      	|	466	rolling_element                      
265	rolling_element                      	|	467	rolling_element                      
266	rolling_element                      	|	468	rolling_element                      
267	rolling_element                      	|	469	rolling_element                      
268	rolling_element                      	|	470	rolling_element                      
269	rolling_element                      	|	471	rolling_element                      
270	rolling_element                      	|	472	rolling_element                      
271	rolling_element                      	|	473	rolling_element                      
272	rolling_element                      	|	474	rolling_element                      
273	rolling_element                      	|	475	rolling_element                      
274	rolling_element                      	|	476	rolling_element                      
275	rolling_element                      	|	477	rolling_element                      
276	rolling_element                      	|	478	rolling_element                      
277	rolling_element                      	|	479	rolling_element                      
278	rolling_element                      	|	480	rolling_element                      
279	rolling_element                      	|	481	rolling_element                      
280	rolling_element                      	|	482	rolling_element                      
281	rolling_element                      	|	483	rolling_element                      
282	rolling_element                      	|	484	rolling_element                      
283	rolling_element                      	|	485	rolling_element                      
284	rolling_element                      	|	486	rolling_element                      
285	rolling_element                      	|	487	rolling_element                      
286	rolling_element                      	|	488	rolling_element                      
287	rolling_element                      	|	489	rolling_element                      
288	rolling_element                      	|	490	rolling_element                      
289	rolling_element                      	|	491	rolling_element                      
290	rolling_element                      	|	492	rolling_element                      
