We have attempted to match the data in Sample_Data\REXS-Database\FVA_wind-turbine\fva_wind-turbine_1-2.rexsj to the data in Sample_Data\REXS-Database\FVA_wind-turbine\fva_wind-turbine_1-2_export.rexsj. 
405/405 components and 466/470 relations from the first data model were matched. 
405/410 components and 466/470 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID  	Type                                  	|	ID  	Type                                  
1   	gear_unit                             	|	1   	gear_unit                             
2   	gear_casing                           	|	2   	gear_casing                           
3   	planet_carrier                        	|	3   	planet_carrier                        
4   	shaft                                 	|	4   	shaft                                 
6   	shaft                                 	|	6   	shaft                                 
9   	planetary_stage                       	|	9   	planetary_stage                       
12  	shaft                                 	|	12  	shaft                                 
22  	cylindrical_gear                      	|	22  	cylindrical_gear                      
24  	ring_gear                             	|	24  	ring_gear                             
25  	rolling_bearing_with_catalog_geometry 	|	25  	rolling_bearing_with_catalog_geometry 
27  	external_load                         	|	27  	external_load                         
28  	shaft                                 	|	28  	shaft                                 
31  	switchable_coupling                   	|	31  	switchable_coupling                   
32  	switchable_coupling                   	|	32  	switchable_coupling                   
33  	side_plate                            	|	33  	side_plate                            
34  	side_plate                            	|	34  	side_plate                            
35  	coupling                              	|	35  	coupling                              
36  	coupling                              	|	36  	coupling                              
41  	rolling_bearing_with_catalog_geometry 	|	41  	rolling_bearing_with_catalog_geometry 
42  	shaft                                 	|	42  	shaft                                 
44  	switchable_coupling                   	|	44  	switchable_coupling                   
55  	rolling_bearing_with_detailed_geometry	|	55  	rolling_bearing_with_detailed_geometry
56  	rolling_bearing_with_detailed_geometry	|	56  	rolling_bearing_with_detailed_geometry
57  	cylindrical_stage                     	|	57  	cylindrical_stage                     
58  	shaft                                 	|	58  	shaft                                 
60  	cylindrical_gear                      	|	60  	cylindrical_gear                      
61  	cylindrical_gear                      	|	61  	cylindrical_gear                      
66  	cylindrical_stage                     	|	66  	cylindrical_stage                     
67  	shaft                                 	|	67  	shaft                                 
69  	cylindrical_gear                      	|	69  	cylindrical_gear                      
70  	cylindrical_gear                      	|	70  	cylindrical_gear                      
77  	rolling_bearing_with_detailed_geometry	|	77  	rolling_bearing_with_detailed_geometry
78  	rolling_bearing_with_detailed_geometry	|	78  	rolling_bearing_with_detailed_geometry
79  	rolling_bearing_with_detailed_geometry	|	79  	rolling_bearing_with_detailed_geometry
80  	rolling_bearing_with_detailed_geometry	|	80  	rolling_bearing_with_detailed_geometry
81  	rolling_bearing_with_detailed_geometry	|	81  	rolling_bearing_with_detailed_geometry
82  	external_load                         	|	82  	external_load                         
83  	lubricant                             	|	83  	lubricant                             
93  	stage_gear_data                       	|	93  	stage_gear_data                       
94  	stage_gear_data                       	|	94  	stage_gear_data                       
95  	stage_gear_data                       	|	95  	stage_gear_data                       
96  	stage_gear_data                       	|	96  	stage_gear_data                       
289 	rack_shaped_tool                      	|	289 	rack_shaped_tool                      
295 	cutter_wheel_tool                     	|	295 	cutter_wheel_tool                     
1142	material                              	|	1142	material                              
1143	material                              	|	1143	material                              
1144	material                              	|	1144	material                              
1225	lubricant                             	|	1225	lubricant                             
1226	lubricant                             	|	1226	lubricant                             
1928	rolling_bearing_row                   	|	2985	rolling_bearing_row                   
1932	rolling_bearing_row                   	|	2986	rolling_bearing_row                   
1935	rolling_bearing_row                   	|	1935	rolling_bearing_row                   
1936	rolling_bearing_row                   	|	1936	rolling_bearing_row                   
1937	rolling_bearing_row                   	|	1937	rolling_bearing_row                   
1938	rolling_bearing_row                   	|	1938	rolling_bearing_row                   
1939	rolling_bearing_row                   	|	1939	rolling_bearing_row                   
1940	rolling_bearing_row                   	|	1940	rolling_bearing_row                   
1941	rolling_bearing_row                   	|	1941	rolling_bearing_row                   
1942	rolling_bearing_row                   	|	1942	rolling_bearing_row                   
1943	rolling_bearing_row                   	|	1943	rolling_bearing_row                   
1944	rolling_bearing_row                   	|	1944	rolling_bearing_row                   
1945	rolling_bearing_row                   	|	1945	rolling_bearing_row                   
1946	rolling_bearing_row                   	|	1946	rolling_bearing_row                   
1956	rack_shaped_tool                      	|	1956	rack_shaped_tool                      
2237	material                              	|	2237	material                              
2318	cylindrical_stage                     	|	2696	cylindrical_stage                     
2319	cylindrical_stage                     	|	2697	cylindrical_stage                     
2320	cylindrical_stage                     	|	2698	cylindrical_stage                     
2321	stage_gear_data                       	|	2699	stage_gear_data                       
2322	stage_gear_data                       	|	2700	stage_gear_data                       
2323	stage_gear_data                       	|	2701	stage_gear_data                       
2324	stage_gear_data                       	|	2702	stage_gear_data                       
2325	stage_gear_data                       	|	2703	stage_gear_data                       
2326	stage_gear_data                       	|	2704	stage_gear_data                       
2327	cylindrical_stage                     	|	2705	cylindrical_stage                     
2328	cylindrical_stage                     	|	2706	cylindrical_stage                     
2329	cylindrical_stage                     	|	2707	cylindrical_stage                     
2330	stage_gear_data                       	|	2708	stage_gear_data                       
2331	stage_gear_data                       	|	2709	stage_gear_data                       
2332	stage_gear_data                       	|	2710	stage_gear_data                       
2333	stage_gear_data                       	|	2711	stage_gear_data                       
2334	stage_gear_data                       	|	2712	stage_gear_data                       
2335	stage_gear_data                       	|	2713	stage_gear_data                       
2336	shaft                                 	|	2714	shaft                                 
2337	shaft                                 	|	2715	shaft                                 
2338	shaft                                 	|	2716	shaft                                 
2339	rolling_bearing_with_catalog_geometry 	|	2717	rolling_bearing_with_catalog_geometry 
2340	rolling_bearing_with_catalog_geometry 	|	2718	rolling_bearing_with_catalog_geometry 
2341	rolling_bearing_with_catalog_geometry 	|	2719	rolling_bearing_with_catalog_geometry 
2342	shaft                                 	|	2720	shaft                                 
2343	shaft                                 	|	2721	shaft                                 
2344	shaft                                 	|	2722	shaft                                 
2345	coupling                              	|	2723	coupling                              
2346	coupling                              	|	2724	coupling                              
2347	coupling                              	|	2725	coupling                              
2348	coupling                              	|	2726	coupling                              
2349	coupling                              	|	2727	coupling                              
2350	coupling                              	|	2728	coupling                              
2351	rolling_bearing_with_catalog_geometry 	|	2729	rolling_bearing_with_catalog_geometry 
2352	rolling_bearing_with_catalog_geometry 	|	2730	rolling_bearing_with_catalog_geometry 
2353	rolling_bearing_with_catalog_geometry 	|	2731	rolling_bearing_with_catalog_geometry 
2354	cylindrical_gear                      	|	2732	cylindrical_gear                      
2355	cylindrical_gear                      	|	2733	cylindrical_gear                      
2356	cylindrical_gear                      	|	2734	cylindrical_gear                      
2357	rolling_element                       	|	2735	rolling_element                       
2358	rolling_element                       	|	2736	rolling_element                       
