We have attempted to match the data in Sample_Data\REXS-Database\fva_planetenstufe_ravigneaux\fva_planetenstufe_ravigneaux_bearinx_1-3.rexsj to the data in Sample_Data\REXS-Database\fva_planetenstufe_ravigneaux\fva_planetenstufe_ravigneaux_bearinx_1-3_export.rexsj. 
181/181 components and 233/233 relations from the first data model were matched. 
181/182 components and 233/233 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                 	|	ID 	Type                                 
1  	gear_unit                            	|	1  	gear_unit                            
2  	gear_casing                          	|	2  	gear_casing                          
12 	planetary_stage                      	|	12 	planetary_stage                      
13 	planet_carrier                       	|	13 	planet_carrier                       
14 	shaft                                	|	14 	shaft                                
21 	shaft                                	|	21 	shaft                                
22 	shaft                                	|	22 	shaft                                
29 	shaft                                	|	29 	shaft                                
30 	shaft                                	|	30 	shaft                                
32 	cylindrical_gear                     	|	32 	cylindrical_gear                     
39 	cylindrical_gear                     	|	39 	cylindrical_gear                     
40 	ring_gear                            	|	40 	ring_gear                            
74 	rolling_bearing_with_catalog_geometry	|	74 	rolling_bearing_with_catalog_geometry
75 	rolling_bearing_with_catalog_geometry	|	75 	rolling_bearing_with_catalog_geometry
76 	rolling_bearing_with_catalog_geometry	|	76 	rolling_bearing_with_catalog_geometry
77 	rolling_bearing_with_catalog_geometry	|	77 	rolling_bearing_with_catalog_geometry
78 	rolling_bearing_with_catalog_geometry	|	78 	rolling_bearing_with_catalog_geometry
79 	rolling_bearing_with_catalog_geometry	|	79 	rolling_bearing_with_catalog_geometry
80 	rolling_bearing_with_catalog_geometry	|	80 	rolling_bearing_with_catalog_geometry
81 	rolling_bearing_with_catalog_geometry	|	81 	rolling_bearing_with_catalog_geometry
95 	external_load                        	|	95 	external_load                        
96 	external_load                        	|	96 	external_load                        
97 	external_load                        	|	97 	external_load                        
98 	external_load                        	|	98 	external_load                        
99 	external_load                        	|	99 	external_load                        
100	external_load                        	|	100	external_load                        
101	external_load                        	|	101	external_load                        
102	external_load                        	|	102	external_load                        
103	external_load                        	|	103	external_load                        
146	lubricant                            	|	146	lubricant                            
147	material                             	|	147	material                             
148	material                             	|	148	material                             
149	material                             	|	149	material                             
150	material                             	|	150	material                             
151	material                             	|	151	material                             
152	material                             	|	152	material                             
153	material                             	|	153	material                             
154	material                             	|	154	material                             
155	material                             	|	155	material                             
156	material                             	|	156	material                             
157	material                             	|	157	material                             
158	material                             	|	158	material                             
159	material                             	|	159	material                             
160	material                             	|	160	material                             
161	material                             	|	161	material                             
162	material                             	|	162	material                             
163	material                             	|	163	material                             
164	material                             	|	164	material                             
165	side_plate                           	|	165	side_plate                           
166	side_plate                           	|	166	side_plate                           
173	coupling                             	|	173	coupling                             
174	coupling                             	|	174	coupling                             
213	cylindrical_stage                    	|	354	cylindrical_stage                    
214	cylindrical_stage                    	|	355	cylindrical_stage                    
215	cylindrical_stage                    	|	356	cylindrical_stage                    
216	cylindrical_stage_gear_data          	|	357	cylindrical_stage_gear_data          
217	cylindrical_stage_gear_data          	|	358	cylindrical_stage_gear_data          
218	cylindrical_stage_gear_data          	|	359	cylindrical_stage_gear_data          
219	cylindrical_stage_gear_data          	|	360	cylindrical_stage_gear_data          
220	cylindrical_stage_gear_data          	|	361	cylindrical_stage_gear_data          
221	cylindrical_stage_gear_data          	|	362	cylindrical_stage_gear_data          
222	cylindrical_stage                    	|	363	cylindrical_stage                    
223	cylindrical_stage                    	|	364	cylindrical_stage                    
224	cylindrical_stage                    	|	365	cylindrical_stage                    
225	cylindrical_stage_gear_data          	|	366	cylindrical_stage_gear_data          
226	cylindrical_stage_gear_data          	|	367	cylindrical_stage_gear_data          
227	cylindrical_stage_gear_data          	|	368	cylindrical_stage_gear_data          
228	cylindrical_stage_gear_data          	|	369	cylindrical_stage_gear_data          
229	cylindrical_stage_gear_data          	|	370	cylindrical_stage_gear_data          
230	cylindrical_stage_gear_data          	|	371	cylindrical_stage_gear_data          
231	cylindrical_stage                    	|	372	cylindrical_stage                    
232	cylindrical_stage                    	|	373	cylindrical_stage                    
233	cylindrical_stage                    	|	374	cylindrical_stage                    
234	cylindrical_stage_gear_data          	|	375	cylindrical_stage_gear_data          
235	cylindrical_stage_gear_data          	|	376	cylindrical_stage_gear_data          
236	cylindrical_stage_gear_data          	|	377	cylindrical_stage_gear_data          
237	cylindrical_stage_gear_data          	|	378	cylindrical_stage_gear_data          
238	cylindrical_stage_gear_data          	|	379	cylindrical_stage_gear_data          
239	cylindrical_stage_gear_data          	|	380	cylindrical_stage_gear_data          
240	cylindrical_stage                    	|	381	cylindrical_stage                    
241	cylindrical_stage                    	|	382	cylindrical_stage                    
242	cylindrical_stage                    	|	383	cylindrical_stage                    
243	cylindrical_stage_gear_data          	|	384	cylindrical_stage_gear_data          
244	cylindrical_stage_gear_data          	|	385	cylindrical_stage_gear_data          
245	cylindrical_stage_gear_data          	|	386	cylindrical_stage_gear_data          
246	cylindrical_stage_gear_data          	|	387	cylindrical_stage_gear_data          
247	cylindrical_stage_gear_data          	|	388	cylindrical_stage_gear_data          
248	cylindrical_stage_gear_data          	|	389	cylindrical_stage_gear_data          
249	shaft                                	|	390	shaft                                
250	shaft                                	|	391	shaft                                
251	shaft                                	|	392	shaft                                
252	concept_bearing                      	|	393	concept_bearing                      
253	concept_bearing                      	|	394	concept_bearing                      
254	concept_bearing                      	|	395	concept_bearing                      
255	shaft                                	|	396	shaft                                
256	shaft                                	|	397	shaft                                
257	shaft                                	|	398	shaft                                
258	coupling                             	|	399	coupling                             
259	coupling                             	|	400	coupling                             
260	coupling                             	|	401	coupling                             
261	coupling                             	|	402	coupling                             
262	coupling                             	|	403	coupling                             
263	coupling                             	|	404	coupling                             
264	concept_bearing                      	|	405	concept_bearing                      
265	concept_bearing                      	|	406	concept_bearing                      
266	concept_bearing                      	|	407	concept_bearing                      
267	cylindrical_gear                     	|	408	cylindrical_gear                     
268	cylindrical_gear                     	|	409	cylindrical_gear                     
269	cylindrical_gear                     	|	410	cylindrical_gear                     
270	shaft                                	|	411	shaft                                
271	shaft                                	|	412	shaft                                
272	shaft                                	|	413	shaft                                
273	concept_bearing                      	|	414	concept_bearing                      
274	concept_bearing                      	|	415	concept_bearing                      
275	concept_bearing                      	|	416	concept_bearing                      
276	shaft                                	|	417	shaft                                
277	shaft                                	|	418	shaft                                
278	shaft                                	|	419	shaft                                
279	coupling                             	|	420	coupling                             
280	coupling                             	|	421	coupling                             
