We have attempted to match the data in Sample_Data/REXS-Database/Workbench_Twin-screw-extruder/Twin_screw-extruder_mod.rexsj to the data in Sample_Data/REXS-Database/Workbench_Twin-screw-extruder/Twin_screw-extruder_mod-2.rexsj. 
238/268 components and 293/326 relations from the first data model were matched. 
238/239 components and 293/294 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID  	Type                                   	|	ID  	Type                                   
1   	gear_unit                              	|	1   	gear_unit                              
2   	gear_casing                            	|	2   	gear_casing                            
3   	cylindrical_stage                      	|	3   	cylindrical_stage                      
4   	shaft                                  	|	4   	shaft                                  
6   	shaft                                  	|	6   	shaft                                  
8   	cylindrical_gear                       	|	8   	cylindrical_gear                       
9   	cylindrical_gear                       	|	9   	cylindrical_gear                       
20  	cylindrical_stage                      	|	20  	cylindrical_stage                      
21  	shaft                                  	|	21  	shaft                                  
23  	cylindrical_gear                       	|	23  	cylindrical_gear                       
24  	cylindrical_gear                       	|	24  	cylindrical_gear                       
27  	cylindrical_stage                      	|	27  	cylindrical_stage                      
28  	shaft                                  	|	28  	shaft                                  
30  	cylindrical_gear                       	|	30  	cylindrical_gear                       
31  	cylindrical_gear                       	|	31  	cylindrical_gear                       
36  	external_load                          	|	36  	external_load                          
37  	cylindrical_stage                      	|	37  	cylindrical_stage                      
38  	shaft                                  	|	38  	shaft                                  
40  	cylindrical_gear                       	|	40  	cylindrical_gear                       
49  	cylindrical_stage                      	|	49  	cylindrical_stage                      
50  	shaft                                  	|	50  	shaft                                  
52  	cylindrical_gear                       	|	52  	cylindrical_gear                       
70  	cylindrical_stage                      	|	70  	cylindrical_stage                      
71  	shaft                                  	|	71  	shaft                                  
73  	cylindrical_gear                       	|	73  	cylindrical_gear                       
80  	cylindrical_stage                      	|	80  	cylindrical_stage                      
81  	shaft                                  	|	81  	shaft                                  
83  	cylindrical_gear                       	|	83  	cylindrical_gear                       
94  	external_load                          	|	94  	external_load                          
95  	rack_shaped_tool                       	|	95  	rack_shaped_tool                       
96  	rack_shaped_tool                       	|	96  	rack_shaped_tool                       
97  	rack_shaped_tool                       	|	97  	rack_shaped_tool                       
98  	rack_shaped_tool                       	|	98  	rack_shaped_tool                       
102 	rolling_bearing_with_catalog_geometry  	|	102 	rolling_bearing_with_catalog_geometry  
103 	rolling_bearing_with_catalog_geometry  	|	103 	rolling_bearing_with_catalog_geometry  
104 	rolling_bearing_with_detailed_geometry 	|	104 	rolling_bearing_with_detailed_geometry 
107 	rolling_bearing_with_catalog_geometry  	|	107 	rolling_bearing_with_catalog_geometry  
108 	rolling_bearing_with_catalog_geometry  	|	108 	rolling_bearing_with_catalog_geometry  
109 	rolling_bearing_with_detailed_geometry 	|	109 	rolling_bearing_with_detailed_geometry 
110 	rolling_bearing_with_catalog_geometry  	|	110 	rolling_bearing_with_catalog_geometry  
113 	rolling_bearing_with_catalog_geometry  	|	113 	rolling_bearing_with_catalog_geometry  
116 	rolling_bearing_with_catalog_geometry  	|	116 	rolling_bearing_with_catalog_geometry  
119 	rolling_bearing_with_catalog_geometry  	|	119 	rolling_bearing_with_catalog_geometry  
121 	rolling_bearing_with_catalog_geometry  	|	121 	rolling_bearing_with_catalog_geometry  
123 	rolling_bearing_with_catalog_geometry  	|	123 	rolling_bearing_with_catalog_geometry  
125 	rolling_bearing_with_catalog_geometry  	|	125 	rolling_bearing_with_catalog_geometry  
127 	rolling_bearing_with_catalog_geometry  	|	127 	rolling_bearing_with_catalog_geometry  
128 	rolling_bearing_with_detailed_geometry 	|	128 	rolling_bearing_with_detailed_geometry 
129 	rolling_bearing_with_catalog_geometry  	|	129 	rolling_bearing_with_catalog_geometry  
130 	rolling_bearing_with_catalog_geometry  	|	130 	rolling_bearing_with_catalog_geometry  
131 	external_load                          	|	131 	external_load                          
136 	cylindrical_stage_gear_data            	|	136 	cylindrical_stage_gear_data            
137 	cylindrical_stage_gear_data            	|	137 	cylindrical_stage_gear_data            
138 	cylindrical_stage_gear_data            	|	138 	cylindrical_stage_gear_data            
139 	cylindrical_stage_gear_data            	|	139 	cylindrical_stage_gear_data            
140 	cylindrical_stage_gear_data            	|	140 	cylindrical_stage_gear_data            
141 	cylindrical_stage_gear_data            	|	141 	cylindrical_stage_gear_data            
142 	cylindrical_stage_gear_data            	|	142 	cylindrical_stage_gear_data            
143 	cylindrical_stage_gear_data            	|	143 	cylindrical_stage_gear_data            
144 	cylindrical_stage_gear_data            	|	144 	cylindrical_stage_gear_data            
145 	cylindrical_stage_gear_data            	|	145 	cylindrical_stage_gear_data            
146 	cylindrical_stage_gear_data            	|	146 	cylindrical_stage_gear_data            
147 	cylindrical_stage_gear_data            	|	147 	cylindrical_stage_gear_data            
148 	cylindrical_stage_gear_data            	|	148 	cylindrical_stage_gear_data            
149 	cylindrical_stage_gear_data            	|	149 	cylindrical_stage_gear_data            
330 	lubricant                              	|	330 	lubricant                              
791 	material                               	|	791 	material                               
792 	material                               	|	792 	material                               
953 	lubricant                              	|	953 	lubricant                              
1484	rolling_bearing_row                    	|	1484	rolling_bearing_row                    
1485	rolling_bearing_row                    	|	1485	rolling_bearing_row                    
1486	rolling_bearing_row                    	|	1486	rolling_bearing_row                    
1487	rolling_bearing_row                    	|	1487	rolling_bearing_row                    
1488	rolling_bearing_row                    	|	1488	rolling_bearing_row                    
1489	rolling_bearing_row                    	|	1489	rolling_bearing_row                    
1490	rolling_bearing_row                    	|	1490	rolling_bearing_row                    
1491	rolling_bearing_row                    	|	1491	rolling_bearing_row                    
1492	rolling_bearing_row                    	|	1492	rolling_bearing_row                    
1493	rolling_bearing_row                    	|	1493	rolling_bearing_row                    
1494	rolling_bearing_row                    	|	1494	rolling_bearing_row                    
1495	rolling_bearing_row                    	|	1495	rolling_bearing_row                    
1496	rolling_bearing_row                    	|	1496	rolling_bearing_row                    
1498	rolling_bearing_row                    	|	1498	rolling_bearing_row                    
1499	rolling_bearing_row                    	|	1499	rolling_bearing_row                    
1500	rolling_bearing_row                    	|	1500	rolling_bearing_row                    
1501	rolling_bearing_row                    	|	1501	rolling_bearing_row                    
1706	cylindrical_stage                      	|	1706	cylindrical_stage                      
1707	shaft                                  	|	1707	shaft                                  
1709	cylindrical_gear                       	|	1709	cylindrical_gear                       
1710	cylindrical_gear                       	|	1710	cylindrical_gear                       
1711	cylindrical_stage_gear_data            	|	1711	cylindrical_stage_gear_data            
1712	cylindrical_stage_gear_data            	|	1712	cylindrical_stage_gear_data            
